policy,slowtrack_load_profile,frontend_profile,scenario_profile,module,n,mean_ms,median_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms
emotion_only,stress_context,backend_ready,chat_only,slowtrack_tts_ms,4000,1141.75,1135.914,1063.992,1213.375,1339.412,796.256,1569.177
emotion_only,stress_context,backend_ready,donation_mix,donation_emotion_motion_ms,1790,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,stress_context,backend_ready,donation_mix,donation_readout_tts_ms,1790,483.453,446.238,446.238,509.413,558.604,427.54,558.604
emotion_only,stress_context,backend_ready,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,backend_ready,donation_mix,fasttrack_analysis_ms,4000,13.459,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,stress_context,backend_ready,donation_mix,fasttrack_audio_lookup_ms,4000,1.692,1.781,1.443,1.808,2.046,1.341,2.046
emotion_only,stress_context,backend_ready,donation_mix,frontend_audio_overhead_ms,4000,3.701,3.583,2.505,4.854,6.556,0.14,7.944
emotion_only,stress_context,backend_ready,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,backend_ready,donation_mix,slowtrack_llm_ms,4000,5050.407,5077.544,4790.918,5327.065,5703.204,3550.528,6631.329
emotion_only,stress_context,backend_ready,donation_mix,slowtrack_tts_ms,4000,1147.409,1138.799,1065.849,1218.079,1351.742,816.786,1498.221
emotion_only,stress_context,capture_stress,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,capture_stress,chat_only,fasttrack_analysis_ms,4000,13.507,13.435,12.753,14.666,15.146,12.385,15.146
emotion_only,stress_context,capture_stress,chat_only,fasttrack_audio_lookup_ms,4000,1.701,1.781,1.474,2.036,2.046,1.341,2.046
emotion_only,stress_context,capture_stress,chat_only,frontend_audio_overhead_ms,4000,169.803,164.668,137.933,200.737,243.988,83.283,278.962
emotion_only,stress_context,capture_stress,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,capture_stress,chat_only,slowtrack_llm_ms,4000,5056.899,5082.534,4796.661,5343.814,5687.651,3474.496,6462.48
emotion_only,stress_context,capture_stress,chat_only,slowtrack_tts_ms,4000,1142.13,1137.05,1069.122,1208.822,1328.058,855.55,1570.819
emotion_only,stress_context,capture_stress,donation_mix,donation_emotion_motion_ms,1770,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,stress_context,capture_stress,donation_mix,donation_readout_tts_ms,1770,482.973,446.238,427.54,509.413,558.604,427.54,558.604
emotion_only,stress_context,capture_stress,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,capture_stress,donation_mix,fasttrack_analysis_ms,4000,13.488,13.25,12.513,13.807,15.146,12.385,15.146
emotion_only,stress_context,capture_stress,donation_mix,fasttrack_audio_lookup_ms,4000,1.702,1.781,1.474,2.036,2.046,1.341,2.046
emotion_only,stress_context,capture_stress,donation_mix,frontend_audio_overhead_ms,4000,169.756,166.416,139.237,198.533,243.326,80.68,276.944
emotion_only,stress_context,capture_stress,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,capture_stress,donation_mix,slowtrack_llm_ms,4000,5048.799,5070.645,4787.811,5322.667,5705.331,3648.437,6439.537
emotion_only,stress_context,capture_stress,donation_mix,slowtrack_tts_ms,4000,1146.374,1140.183,1073.159,1214.723,1337.409,855.213,1517.73
emotion_only,stress_context,local_browser,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,local_browser,chat_only,fasttrack_analysis_ms,4000,13.529,13.435,12.753,14.666,15.146,12.385,15.146
emotion_only,stress_context,local_browser,chat_only,fasttrack_audio_lookup_ms,4000,1.691,1.62,1.474,1.808,2.046,1.341,2.046
emotion_only,stress_context,local_browser,chat_only,frontend_audio_overhead_ms,4000,51.392,50.169,40.525,61.546,77.023,20.734,89.517
emotion_only,stress_context,local_browser,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,local_browser,chat_only,slowtrack_llm_ms,4000,5040.97,5064.209,4785.607,5333.059,5683.04,3505.698,6450.769
emotion_only,stress_context,local_browser,chat_only,slowtrack_tts_ms,4000,1142.702,1135.406,1067.875,1214.224,1332.96,825.52,1506.457
emotion_only,stress_context,local_browser,donation_mix,donation_emotion_motion_ms,1802,0.012,0.011,0.01,0.013,0.014,0.01,0.014
emotion_only,stress_context,local_browser,donation_mix,donation_readout_tts_ms,1802,485.302,509.413,427.54,509.413,558.604,427.54,558.604
emotion_only,stress_context,local_browser,donation_mix,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,local_browser,donation_mix,fasttrack_analysis_ms,4000,13.492,13.25,12.753,13.807,15.146,12.385,15.146
emotion_only,stress_context,local_browser,donation_mix,fasttrack_audio_lookup_ms,4000,1.695,1.781,1.443,2.036,2.046,1.341,2.046
emotion_only,stress_context,local_browser,donation_mix,frontend_audio_overhead_ms,4000,52.002,50.377,41.187,62.65,77.287,20.435,89.37
emotion_only,stress_context,local_browser,donation_mix,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emotion_only,stress_context,local_browser,donation_mix,slowtrack_llm_ms,4000,5043.043,5067.094,4790.044,5313.184,5686.951,3324.185,6953.797
emotion_only,stress_context,local_browser,donation_mix,slowtrack_tts_ms,4000,1142.586,1136.412,1066.749,1211.836,1331.649,856.461,1518.419
grounded,current_prompt,backend_ready,chat_only,emotion_motion_payload_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grounded,current_prompt,backend_ready,chat_only,fasttrack_analysis_ms,4000,50.803,22.49,19.661,23.809,283.077,9.786,283.077
grounded,current_prompt,backend_ready,chat_only,fasttrack_audio_lookup_ms,4000,1.719,1.772,1.464,1.92,2.181,1.333,2.181
grounded,current_prompt,backend_ready,chat_only,frontend_audio_overhead_ms,4000,3.63,3.521,2.444,4.794,6.485,0.034,7.902
grounded,current_prompt,backend_ready,chat_only,latency_cover_plan_ms,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grounded,current_prompt,backend_ready,chat_only,slowtrack_llm_ms,4000,1505.801,1503.255,1428.004,1582.846,1692.671,1036.272,1969.088
grounded,current_prompt,backend_ready,chat_only,slowtrack_tts_ms,4000,942.377,938.24,876.391,1005.446,1085.406,699.744,1235.915
